height,era,current_compact_size,estimated_with_transparent,delta_bytes,delta_percent,tx_count,transparent_inputs,transparent_outputs
3075393,nu6,91,382,291,319.7802197802198,2,3,4
3075396,nu6,254,439,185,72.83464566929135,2,2,2
3075602,nu6,91,236,145,159.34065934065933,1,1,2
3075698,nu6,378,1633,1255,332.010582010582,3,27,4
3075768,nu6,805,1131,326,40.49689440993789,3,3,5
3075826,nu6,766,4551,3785,494.1253263707572,2,92,2
3075891,nu6,91,236,145,159.34065934065933,1,1,2
3075957,nu6,91,236,145,159.34065934065933,1,1,2
3075972,nu6,91,236,145,159.34065934065933,1,1,2
3076037,nu6,91,343,252,276.9230769230769,2,2,4
3076347,nu6,2194,3154,960,43.75569735642662,12,11,14
3076658,nu6,414,815,401,96.85990338164251,4,4,6
3076748,nu6,91,236,145,159.34065934065933,1,1,2
3076804,nu6,91,346,255,280.2197802197802,2,2,4
3076811,nu6,91,236,145,159.34065934065933,1,1,2
3076918,nu6,91,236,145,159.34065934065933,1,1,2
3076947,nu6,91,236,145,159.34065934065933,1,1,2
3076965,nu6,448,1145,697,155.58035714285714,3,2,17
3077116,nu6,448,1223,775,172.99107142857142,7,9,11
3077136,nu6,91,343,252,276.9230769230769,2,2,4
3077182,nu6,91,985,894,982.4175824175825,6,12,11
